Authorized Date,Posted Date,Status,Account Name,Description,Primary Category,Detailed Category,Amount
2025-11-18,2025-11-19,Posted,Prime Visa ***6239,Whole Foods,Food & drink,Groceries,-115.76
2025-11-17,2025-11-19,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-6.60
2025-11-17,2025-11-17,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Pequeno Jardim Flor Lisboa,Shopping,Gifts,-43.13
2025-11-17,2025-11-17,Posted,Checking - 9631,Chase Credit Card,Transfers,Other transfers,-220.29
2025-11-17,2025-11-17,Posted,Checking - 9631,American Express,Transfers,Other transfers,-530.27
2025-11-17,2025-11-18,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-6.03
2025-11-17,2025-11-17,Posted,Checking - 9631,Kalshi,Entertainment,Gambling,-200.00
2025-11-17,2025-11-18,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-24.71
2025-11-17,2025-11-17,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-11-17,2025-11-18,Posted,Blue Cash Preferred® ***1009,Eataly La Catlos Angeles,Food & drink,Groceries,-136.83
2025-11-17,2025-11-17,Posted,Blue Cash Preferred® ***1009,Apple,Services,Digital services,-2.99
2025-11-17,2025-11-18,Posted,Prime Visa ***6239,Amazon Prime,Services,Digital services,-16.45
2025-11-16,2025-11-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Boba Harmony,Food & drink,Other food & drink,-16.98
2025-11-16,2025-11-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,SoFi,Food & drink,Restaurants & bars,-41.34
2025-11-16,2025-11-16,Posted,Personal Profile,Carson Yee White Claws Birthday Tab,Transfers,Account transfers,-50.00
2025-11-16,2025-11-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,SoFi,Food & drink,Restaurants & bars,-27.84
2025-11-16,2025-11-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Waymo,Transportation,Taxi & ride shares,-20.90
2025-11-16,2025-11-16,Posted,Personal Profile,B G 🦅,Entertainment,Events & recreation,-300.00
2025-11-16,2025-11-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Mongrill Gourmet Mongolian BBQ,Food & drink,Restaurants & bars,-16.02
2025-11-16,2025-11-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,SoFi,Food & drink,Restaurants & bars,-20.67
2025-11-15,2025-11-16,Posted,Prime Visa ***6239,Credit Card Payment,Transfers,Loans & cash advances,220.29
2025-11-15,2025-11-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Bombas,Shopping,Gifts,-89.45
2025-11-15,2025-11-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Baja Catch & Grill,Food & drink,Restaurants & bars,-16.02
